LocationID,PeakTime,TotalTravelRate,Fluctuations,MFNIL
246,55,0.020285467,3,0.053742583
247,51,0.028708322,8,0.075422182
248,52,0.054708639,1,0.124030123
249,54,0.131899033,10,0.356230032
250,54,0.080800602,8,0.090483797
251,55,0.338039557,14,0.22535372
252,54,0.059120993,3,0.208580557
253,52,0.042006811,2,0.098356915
254,54,0.041599818,1,0.156321314
255,52,0.045495167,1,0.1195801
256,59,0.003290531,1,0.005819261
257,52,0.038028992,3,0.132587859
258,52,0.032078209,2,0.067092652
259,52,0.029488178,1,0.089456869
260,53,0.097328235,3,0.142286627
261,52,0.04205165,3,0.035371976
262,55,0.009837823,1,0.024189868
263,54,0.022773203,1,0.099383843
264,57,0.007485075,1,0.010725696
265,54,0.016453992,1,0.050091283
266,52,0.043499039,3,0.105659516
267,55,0.046169198,3,0.104176175
268,55,0.039980493,4,0.096303058
269,52,0.04043598,2,0.101209493
270,52,0.052242659,4,0.124942948
271,50,0.018984011,1,0.062414423
272,52,0.032367034,1,0.090712004
273,52,0.023381651,1,0.052715655
274,52,0.015541611,1,0.050319489
275,52,0.03116775,2,0.142628937
276,52,0.052619956,1,0.153696942
277,53,0.01166218,1,0.038338658
278,55,0.024184415,3,0.103719763
279,54,0.074941938,6,0.208922866
280,53,0.024046645,1,0.082838886
281,56,0.010208159,1,0.017001369
282,51,0.024907392,1,0.104404382
283,54,0.015027593,1,0.053514377
284,53,0.025542233,1,0.056252853
285,52,0.018193324,2,0.043245094
286,55,0.014959258,1,0.026586034
287,53,0.016635316,2,0.03080785
288,52,0.025058629,1,0.060588772
289,55,0.0129274,1,0.025673209
290,59,0.002660319,1,0.005134642
291,61,0.005518015,2,0.014148791
292,52,0.031358746,3,0.117298037
293,53,0.011578128,3,0.087403012
294,51,0.030484001,8,0.20869466
295,52,0.024634757,3,0.082838886
296,54,0.15959213,6,0.163623916
297,54,0.052785309,1,0.065723414
298,52,0.085890395,3,0.106001826
299,55,0.011035295,1,0.019169329
300,52,0.0318561,2,0.033432223
301,54,0.108393002,3,0.164194432
302,52,0.028202177,3,0.110337745
303,52,0.093392601,9,0.086718393
304,55,0.014738229,1,0.125399361
305,55,0.008042945,1,0.065609311
306,58,0.004256974,1,0.027042446
307,59,0.002928169,1,0.018028298
308,55,0.237192678,26,0.271223186
309,56,0.015216373,3,0.155522592
310,55,0.006194259,1,0.044157919
311,53,0.038881937,1,0.04963487
312,53,0.014378341,1,0.129735281
313,52,0.03147955,1,0.035600183
